,SO2,CO,PM10,NO2,O3,PM2.5
2023-02-11 03:00:00,10.6587804878049,260.187073170732,,28.4585365853659,12.6534146341463,
2023-02-11 04:00:00,11.9026086956522,286.424782608696,,27.4976086956522,10.8519565217391,
2023-02-11 05:00:00,14.3230909090909,308.892727272727,,25.8807272727273,10.7569090909091,
2023-02-11 06:00:00,11.5463333333333,223.835833333333,,23.3613333333333,12.431,
2023-02-11 07:00:00,12.2450769230769,237.262,,23.98,11.0764615384615,
2023-02-11 08:00:00,12.1925396825397,247.923174603175,,24.7701587301587,10.4963492063492,
2023-02-11 09:00:00,13.1062121212121,260.497121212121,,25.17,10.5284848484849,
2023-02-11 10:00:00,13.2170149253731,264.204328358209,,24.414328358209,9.08388059701493,
2023-02-11 11:00:00,13.836,257.957,,22.9933333333333,9.29433333333333,
2023-02-11 12:00:00,12.7421666666667,254.751833333333,,22.9033333333333,10.0688333333333,
2023-02-11 13:00:00,16.1203389830509,273.283050847458,,22.4205084745763,9.32796610169492,
2023-02-11 14:00:00,19.4314,294.2888,,17.7246,7.8216,
2023-02-11 15:00:00,17.3621818181818,276.185818181818,,15.6463636363636,7.40272727272727,
2023-02-11 16:00:00,17.2448936170213,258.251489361702,,12.8729787234043,7.50021276595745,
2023-02-11 17:00:00,17.4562745098039,268.128431372549,,13.2772549019608,8.17803921568628,
2023-02-11 18:00:00,14.7663461538462,283.321153846154,,17.6076923076923,10.6273076923077,
2023-02-11 19:00:00,16.8528301886792,282.827735849057,,11.4833962264151,10.512641509434,
2023-02-11 20:00:00,12.4310169491525,291.262881355932,,18.5045762711864,14.88,
2023-02-11 21:00:00,15.9558620689655,280.004310344828,,14.7831034482759,11.6663793103448,
2023-02-11 22:00:00,16.319,308.590833333333,,16.1326666666667,12.3978333333333,
2023-02-11 23:00:00,20.2762745098039,365.463725490196,,24.084705882353,14.4945098039216,
2023-02-12 00:00:00,17.8253846153846,378.108653846154,,28.8609615384615,13.3594230769231,
2023-02-12 01:00:00,17.0553191489362,330.058936170213,,28.9478723404255,12.7282978723404,
2023-02-12 02:00:00,19.4116279069767,376.495813953488,,31.1995348837209,10.2848837209302,
2023-02-12 03:00:00,16.9084090909091,324.501136363636,,29.5954545454546,10.015,
2023-02-12 04:00:00,14.815,258.7796,,26.9048,9.1644,
2023-02-12 05:00:00,12.3817073170732,260.289268292683,,27.4787804878049,10.0553658536585,
2023-02-12 06:00:00,7.69438596491228,184.605964912281,,24.4378947368421,14.8805263157895,
2023-02-12 07:00:00,11.033,197.690333333333,,25.045,12.9861666666667,
2023-02-12 08:00:00,10.9956666666667,174.887,,22.8093333333333,13.2608333333333,
